Sequence,Phase,Start,Item,Piece,Bangs,Duration (sec),Description,Comment
1,Opening,22:00,,(1-4)/8 (Parallel),8000,36,"2,000 STRING 8/2000","Starting Announcement / 1 Hour, 9 Mins After Sunset"
2,Opening,22:00,5 BALL FAB CANDLE ASST 18/4,(1‐50)/72 (Staggered),360,180,"5 Shot - 18"" assorted candles with multi color and effects Firehawk",Lighting Ceromony: Pat ignites thermite with roman candle gatlin gun
3,Main Show,22:03,POWER 11 ASSORTMENT 3/1,Crescendo,25,35,"SF - 500g - 1 ea. - Crescendo, Encore and Bravissimo AFW",Great - 1/2 Fountain
4,Main Show,22:04,COMMANDER IN CHIEF 4/4/6,(1-5)/96,5,1,"96 - 1 3/4"" - 60g shells - 96 total breaks. 2 effects, 2 shells of each effect Firehawk",Grand
5,Main Show,22:04,POWER 11 ASSORTMENT 3/1,Encore ,12,46,"SF - 500g - 1 ea. - Crescendo, Encore and Bravissimo AFW",Great - 2 Color Breaks
6,Main Show,22:04,POWER 11 ASSORTMENT 3/1,Bravissimo ,16,37,"SF - 500g - 1 ea. - Crescendo, Encore and Bravissimo AFW",Great - Multi-Effect
7,Main Show,22:05,LIMITLESS 2/1,1/2,115,41,"115 Shot - AF-Color and crackling comets, mines, breaks and whistling Shogun",Grand
8,Main Show,22:06,WARHEAD 4/1,1/4,24,22,24 Shot - AF-Brocade mines to multi color breaks with glitter and crackling AFW,Great
9,Main Show,22:06,THE BEST THING EVER 4/1,1/4,9,28,9 Shot - SF-Gold palms to crackling with multi color strobes Shogun,Great
10,Main Show,22:07,PYRO MANIA ASSORTMENT PACK 3/1,1/3,23,40,"1 ea. - Brocade Mania, Strobing Mania and Spider Mania Shogun",Grand
11,Main Show,22:07,MARDI GRAS PARADE 4/1,1/4,30,23,30 Shot - SF-Crackling mines to crackling with multi color dahlias AFW,Grand
12,Main Show,22:08,ATOMIC SHOCK WAVE 2/1,1/2,9,34,"9 Shot - SF-Multi color peonies, crowns and willows with color pistils AFW",Great
13,Main Show,22:08,ROUTE 66 SPECTACLE 2/1,1/2,66,120,1 ea. - Mother Road Mirage and Main Street Marvel Raccoon,Grand
14,Main Show,22:10,MODERN WARFARE 2/1,1/2,12,32,"12 Shot - SF-Multi color palms with strobe, glitter and crackling pistils AFW",Great
15,Main Show,22:11,REALLY LOOKS GOOD 4/1,1/4,25,26,"25 Shot - AF-Blue tails, crackling mines to color breaks and crackling Shogun",Grand
16,Main Show,22:11,HOIST THE COLORS 3/1,1/3,49,64,"AF - 500g - 1 ea. - Red, White and Blue Brothers",Grand
17,Main Show,22:12,AMERICAN FIREWORKS ASST 3/1,American Patriot,16,32,"SF - 500g - 1 ea. - American Patriot, American Hero and American Glory Shogun",Great
18,Main Show,22:13,RUST BUCKET 4/1,1/4,182,21,182 Shot - AF-Crackling and strobe mines to neon color stars and crackling Shogun,Grand
19,Main Show,22:13,COMMANDER IN CHIEF 4/4/6,(29-31)/96,3,1,"96 - 1 3/4"" - 60g shells - 96 total breaks. 2 effects, 2 shells of each effect Firehawk",Grand
20,Main Show,22:13,WRATH 4/1,1/4,36,25,"36 Shot - AF-Gold and blue mines to brocade, red and blue glitter, crackle Firehawk",Grand
21,Main Show,22:14,NEPTUNE'S FURY 2/1,1/2,10,35,"10 Shot - SF-Willows, brocades, dahlias & chrysanthemum w/glitter & crackling AFW",Great
22,Main Show,22:14,RED HOT PEPPERS 2/1,1/2,53,24,53 Shot - AF-Red strobe comets with 4 shots of red strobes to a willow finale Shogun,Grand
23,Main Show,22:15,SPOOKY STAIRCASE 2/1,1/2,10,30,"10 Shot - AF-Red, blue and crackling ghost ring breaks DF1",Great
24,Main Show,22:15,HIGH TREASON 4/1,1/4,21,21,"21 Shot - AF-Mine to brocade, strobes, spinners, whistle and crackling Shogun",Great
25,Main Show,22:15,DONUT KING 2/1,1/2,10,35,"10 Shot - SF-Thick red, blue, silver and crackling aerial donut rings Shogun",Great
26,Main Show,22:16,REALLY LOOKS GOOD 4/1,2/4,25,26,"25 Shot - AF-Blue tails, crackling mines to color breaks and crackling Shogun",Grand
27,Main Show,22:16,FLIPPING AWESOME 4/1,1/4,12,32,"12 Shot - SF-Brocade, white glitter, silver wave and crackling chrysanthemum Firehawk",Grand
28,Main Show,22:17,SOLAR ERUPTION 1/1,1/1,134,25,"134 Shot - AF-Whistling, red, white and blue tails; multi color breaks AFW",Grand
29,Main Show,22:17,COMMANDER IN CHIEF 4/4/6,(32-34)/96,3,1,"96 - 1 3/4"" - 60g shells - 96 total breaks. 2 effects, 2 shells of each effect Firehawk",Grand
30,Main Show,22:17,WARHEAD 4/1,2/4,24,22,24 Shot - AF-Brocade mines to multi color breaks with glitter and crackling AFW,
31,Main Show,22:18,ROCKET SCIENCE 4/1,2/4,16,37,"16 Shot - SF-Glittering tails to brocade, color glitter and crackling AFW",
32,Main Show,22:18,HOLY MOLY 4/1,2/4,9,26,9 Shot - SF-Whistling and crackling tails to color peonies and willows Firehawk,Great
33,Main Show,22:19,SPUTNIK 4/1,1/4,24,20,24 Shot - AF-Colorful mines & silver crackling tails to crackling willows w/strobing stars Pyro Planet,Grand
34,Main Show,22:19,THE GREAT GOBLIN 4/1,1/4,12,20,"12 Shot - AF-Color and strobe mines to red, blue and green breaks with strobe Shogun",Great
35,Main Show,22:19,WRATH 4/1,2/4,36,25,"36 Shot - AF-Gold and blue mines to brocade, red and blue glitter, crackle Firehawk",Grand
36,Main Show,22:20,THE BEST THING EVER 4/1,2/4,9,28,9 Shot - SF-Gold palms to crackling with multi color strobes Shogun,Great
37,Main Show,22:20,NISHIKI MINE 4/1,1/4,56,46,56 Shot - SF-Nishiki willow mines to Nishiki willows with crackling Raccoon,Great
38,Main Show,22:21,ABSOLUTELY AWESOME 2/1,1/2,9,35,9 Shot - SF-Nishiki kamuros with blue and green strobe stars and crackling Shogun,Good
39,Main Show,22:22,HOTSY TOTSY 8/1,1/8,15,20,"15 Shot - SF-Color coconut, brocade, glitter, swinging stars and crackle Firehawk",Great
40,Main Show,22:22,COMMANDER IN CHIEF 4/4/6,(16-20)/96,5,1,"96 - 1 3/4"" - 60g shells - 96 total breaks. 2 effects, 2 shells of each effect Firehawk",Grand
41,Main Show,22:22,HOTSY TOTSY 8/1,2/8,15,20,"15 Shot - SF-Color coconut, brocade, glitter, swinging stars and crackle Firehawk",Great
42,Main Show,22:22,HIGH TREASON 4/1,3/4,21,21,"21 Shot - AF-Mine to brocade, strobes, spinners, whistle and crackling Shogun",Great
43,Main Show,22:23,DEPTH CHARGE 3/1,1/3,16,40,16 Shot - SF-Gold palm to white strobe and crackling AFW,Grand
44,Main Show,22:23,FLIPPING AWESOME 4/1,2/4,12,32,"12 Shot - SF-Brocade, white glitter, silver wave and crackling chrysanthemum Firehawk",Grand
45,Main Show,22:24,WARHEAD 4/1,3/4,24,22,24 Shot - AF-Brocade mines to multi color breaks with glitter and crackling AFW,Great
46,Main Show,22:24,SPOOKY STAIRCASE 2/1,2/2,10,30,"10 Shot - AF-Red, blue and crackling ghost ring breaks DF1",Great
47,Main Show,22:25,SPUTNIK 4/1,2/4,24,20,24 Shot - AF-Colorful mines & silver crackling tails to crackling willows w/strobing stars Pyro Planet,Grand
48,Main Show,22:25,THE GREAT GOBLIN 4/1,2/4,12,20,"12 Shot - AF-Color and strobe mines to red, blue and green breaks with strobe Shogun",Great
49,Main Show,22:25,NISHIKI MINE 4/1,2/4,56,46,56 Shot - SF-Nishiki willow mines to Nishiki willows with crackling Raccoon,Great
50,Main Show,22:26,ROCKET SCIENCE 4/1,1/4,16,37,"16 Shot - SF-Glittering tails to brocade, color glitter and crackling AFW",
51,Main Show,22:27,RUST BUCKET 4/1,2/4,182,21,182 Shot - AF-Crackling and strobe mines to neon color stars and crackling Shogun,Grand
52,Main Show,22:27,COMMANDER IN CHIEF 4/4/6,(35-37)/96,3,1,"96 - 1 3/4"" - 60g shells - 96 total breaks. 2 effects, 2 shells of each effect Firehawk",Grand
53,Main Show,22:27,HOLY MOLY 4/1,1/4,9,26,9 Shot - SF-Whistling and crackling tails to color peonies and willows Firehawk,Great
54,Main Show,22:28,MARDI GRAS PARADE 4/1,2/4,30,23,30 Shot - SF-Crackling mines to crackling with multi color dahlias AFW,Grand
55,Main Show,22:28,ARCHERS REVENGE 1/1,1/1,300,38,"300 Shot - AF-Multi colors, glitter tails to whistle with crackle and mines AFW",Grand
56,Main Show,22:29,COMMANDER IN CHIEF 4/4/6,(38-40)/96,3,1,"96 - 1 3/4"" - 60g shells - 96 total breaks. 2 effects, 2 shells of each effect Firehawk",Grand
57,Main Show,22:29,HIGH TREASON 4/1,2/4,21,21,"21 Shot - AF-Mine to brocade, strobes, spinners, whistle and crackling Shogun",Great
58,Main Show,22:29,HOTSY TOTSY 8/1,3/8,15,20,"15 Shot - SF-Color coconut, brocade, glitter, swinging stars and crackle Firehawk",Great
59,Main Show,22:29,COMMANDER IN CHIEF 4/4/6,(25-28)/96,4,1,"96 - 1 3/4"" - 60g shells - 96 total breaks. 2 effects, 2 shells of each effect Firehawk",Grand
60,Main Show,22:29,HOTSY TOTSY 8/1,4/8,15,20,"15 Shot - SF-Color coconut, brocade, glitter, swinging stars and crackle Firehawk",Great
61,Main Show,22:30,WRATH 4/1,3/4,36,25,"36 Shot - AF-Gold and blue mines to brocade, red and blue glitter, crackle Firehawk",Grand
62,Main Show,22:30,FLIPPING AWESOME 4/1,3/4,12,32,"12 Shot - SF-Brocade, white glitter, silver wave and crackling chrysanthemum Firehawk",Grand
63,Main Show,22:31,HOIST THE COLORS 3/1,2/3,49,64,"AF - 500g - 1 ea. - Red, White and Blue Brothers",Grand
